"Sentence Text";Coded;Coder1;Coder2;Coder3;"Word Count";"Average Word Length";CC;CD;DT;EX;FW;IN;JJ;JJR;JJS;LS;MD;NN;NNS;NNP;NNPS;PDT;POS;PRP;PRP$;RB;RBR;RBS;RP;SYM;TO;UH;VB;VBD;VBG;VBN;VBP;VBZ;WDT;WP;WP$;WRB;"COCA1990 2012";"COCA2016 17";MTurk;PersonalBlogs;PoliticalBlogs;Refined;PDA500;TDA1710;"ALLPORT Metaphorical Doubtful";"ALLPORT Personal Traits";"ALLPORT Social Evaluations";"ALLPORT Temporary States";"COCA1990 2012 Count";"COCA2016 17 Count";"MTurk Count";"PersonalBlogs Count";"PoliticalBlogs Count";"Refined Count";"PDA500 Count";"TDA1710 Count";"ALLPORT Metaphorical Doubtful Count";"ALLPORT Personal Traits Count";"ALLPORT Social Evaluations Count";"ALLPORT Temporary States Count";"w2v cosine";"w2v euclid";"glove cosine";"glove euclid";O+;O-;C+;C-;E+;E-;A+;A-;N+;N-;SE+;SE-;ST+;ST-;CO+;CO-;OC+;OC-;ANNAM;ANNES;BETTY;BIDDY;CARTW;COLBR;DRDAV;EDWAR;ELINO;ELIBR;ELIWI;HARRY;WILLO;JHYMD;LADYE;LADYM;LDCOU;LDMOR;LUCYS;MARGA;MARIA;MARTH;MSCAR;MSGOD;MSMOR;MSSOP;MSSPA;MSWAL;MRDON;MRHAR;MRHEN;MRJEN;MRJOD;MRPRA;MRRIC;MRSIM;MRPAL;MRELL;MRROS;MSPAL;MSDSH;MSDEN;FANNY;MSFER;MSJEN;MSRIC;MSSMI;MSTAY;MSBUR;MSCLA;MSELL;GIBSO;RICST;ROBFE;SALLY;SRELL;SRMID;SRFER;OLDGD;WESTS;WHITS;THOMS;WMMID;PEOPL
"To Marianne it had all the distinguishing tenderness which a lover's heart could give, and to the rest of the family it was the affectionate attention of a son and a brother.";7;WILLO:X:ST+;WILLO:A+:X;MARIA:C-:X;32;4.3;2;0;8;0;0;2;1;0;0;0;1;9;0;1;0;0;0;2;0;0;0;0;0;0;2;0;1;2;0;0;0;0;1;0;0;0;"BE 2(tenderness, family), HE 1(rest), SE 1(attention)";"BE 2(tenderness, family), SE 1(attention)";"BE 1(family)";"BE 2(tenderness, family), HE 1(rest), SE 1(attention)";"BE 1(family)";"BE 2(tenderness, family), HE 1(rest), SE 1(attention)";"affectionate";"affectionate";;;"it";;4;3;1;4;1;4;1;1;0;0;1;0;0.82;0.58;0.34;1.11;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;"HC1 (55) [ CO- 5, E+ 6, OC+ 8, SE+ 2, A+ 4, C- 2, ST+ 6, O+ 7, A- 11, OC+  2, CO+ 2 ], HC2 (84) [ X + 5, E+ 14, C+ 3, A+ 13, C- 1, ST+ 9, A- 13, ST- 1, OC+ 3, SE+ 9, OC- 1, O+ 7, N+ 3, CO+ 2 ]";;;;;;;;"HC3 (133) [ OC-  2, E+ 34, C+ 8, A+ 13, C- 2, ST+ 8, A- 2, OC+  5, OC+ 2, OC- 13, SE+ 14, O+ 4, N+ 2, O- 12, CO+ 9, N- 3 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"The cottage seemed to be considered and loved by him as his home; many more of his hours were spent there than at Allenham; and if no general engagement collected them at the park, the exercise which called him out in the morning was almost certain of ending there, where the rest of the day was spent by himself at the side of Marianne, and by his favourite pointer at her feet.";4;WILLO:E+:X;;;74;4.1;3;0;8;0;0;15;4;1;0;0;0;10;2;2;0;0;0;4;4;3;0;0;1;0;1;0;1;6;1;4;0;0;1;0;0;1;"HE 1(rest), ST 1(exercise)";;"ST 1(exercise)";"HE 1(rest), ST 1(exercise)";"ST 1(exercise)";"HE 1(rest), ST 1(exercise)";"certain";"certain";"called, morning";;"out";"spent, collected";2;0;1;2;1;2;1;1;2;0;1;2;0.82;0.59;0.26;1.18;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;"HC1 (56) [ CO- 5, E+ 7, OC+ 8, SE+ 2, A+ 4, C- 2, ST+ 6, O+ 7, A- 11, OC+  2, CO+ 2 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"One evening in particular, about a week after Colonel Brandon left the country, his heart seemed more than usually open to every feeling of attachment to the objects around him; and on Mrs. Dashwood's happening to mention her design of improving the cottage in the spring, he warmly opposed every alteration of a place which affection had established as perfect with him.";7;WILLO:X:OC-;WILLO:A:SE;WILLO:E+:X;63;4.8;1;1;8;0;0;12;3;1;0;0;0;12;1;4;0;0;0;4;1;2;0;0;0;0;3;0;1;4;2;1;0;0;1;0;0;0;"AC 1(improving), BE 2(feeling, affection)";"BE 1(feeling)";"AC 1(improving), BE 2(feeling, affection)";"AC 1(improving), BE 2(feeling, affection)";"AC 1(improving), BE 1(feeling)";"AC 1(improving), BE 2(feeling, affection)";"particular";"open";;"particular, open";"perfect";"improving, feeling";3;1;3;3;2;3;1;1;0;2;1;2;0.83;0.58;0.25;1.20;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;;;;;;;;;;;;;"HC1 (57) [ CO- 5, E+ 7, OC+ 8, SE+ 2, OC- 1, A+ 4, C- 2, ST+ 6, O+ 7, A- 11, OC+  2, CO+ 2 ], HC2 (86) [ X + 5, E+ 14, C+ 3, A+ 14, C- 1, ST+ 9, A- 13, ST- 1, OC+ 3, SE+ 10, OC- 1, O+ 7, N+ 3, CO+ 2 ], HC3 (43) [ E+ 13, SE+ 7, OC- 5, A+ 5, C- 2, ST+ 3, A- 7, O- 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"""What!"" he exclaimed--""Improve this dear cottage!";3;;WILLO:X:SE;WILLO:E+:X;7;6.1;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;;;;;;;;;;;"dear";;0;0;0;0;0;0;0;0;0;0;1;0;0.79;0.65;0.38;1.10;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;;;;;;"HC2 (87) [ X + 5, E+ 14, C+ 3, A+ 14, C- 1, ST+ 9, A- 13, ST- 1, OC+ 3, SE+ 11, OC- 1, O+ 7, N+ 3, CO+ 2 ], HC3 (44) [ E+ 14, SE+ 7, OC- 5, A+ 5, C- 2, ST+ 3, A- 7, O- 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No. THAT I will never consent to.;7;WILLO:E+:X;WILLO:X:SE;WILLO:E+:OC-;7;3.7;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;"CO 1(consent)";;;"CO 1(consent)";;"CO 1(consent)";;;;;;"will";1;0;0;1;0;1;0;0;0;0;0;1;0.87;0.52;0.57;0.91;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;1;;;;;;;;;;;;;"HC1 (58) [ CO- 5, E+ 8, OC+ 8, SE+ 2, OC- 1, A+ 4, C- 2, ST+ 6, O+ 7, A- 11, OC+  2, CO+ 2 ], HC2 (88) [ X + 5, E+ 14, C+ 3, A+ 14, C- 1, ST+ 9, A- 13, ST- 1, OC+ 3, SE+ 12, OC- 1, O+ 7, N+ 3, CO+ 2 ], HC3 (46) [ E+ 15, SE+ 7, OC- 6, A+ 5, C- 2, ST+ 3, A- 7, O- 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Not a stone must be added to its walls, not an inch to its size, if my feelings are regarded.""";3;;WILLO:X:SE;WILLO:E+:OC-;20;3.6;0;0;2;0;0;1;0;0;0;0;1;3;2;0;0;0;0;0;3;2;0;0;0;0;2;0;1;0;0;2;1;0;0;0;0;0;"CO 1(must)";"CO 1(must)";;"CO 1(must)";"CO 1(must)";"CO 1(must)";;;"must, stone";;;;1;1;0;1;1;1;0;0;2;0;0;0;0.81;0.60;0.20;1.23;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;;;;;;;;;;;;;"HC2 (89) [ X + 5, E+ 14, C+ 3, A+ 14, C- 1, ST+ 9, A- 13, ST- 1, OC+ 3, SE+ 13, OC- 1, O+ 7, N+ 3, CO+ 2 ], HC3 (48) [ E+ 16, SE+ 7, OC- 7, A+ 5, C- 2, ST+ 3, A- 7, O- 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"""Do not be alarmed,"" said Elinor Dashwood, ""nothing of the kind will be done; for my mother will never have money enough to attempt it.""";4;"ELINO:C+:X, MSDSH:C-:X";;;27;4.0;0;0;1;0;0;2;0;0;0;0;2;4;1;2;0;0;0;1;1;3;0;0;0;0;1;0;4;1;0;2;1;0;0;0;0;0;"BE 1(mother), PO 1(money), ST 1(attempt)";"BE 1(mother), PO 1(money), ST 1(attempt)";"BE 1(mother)";"PO 1(money), ST 1(attempt)";"BE 1(mother), PO 1(money), ST 1(attempt)";"BE 1(mother), PO 1(money), ST 1(attempt)";"kind";"kind";;"kind";"it";"alarmed, will, done";3;3;1;2;3;3;1;1;0;1;1;3;0.86;0.52;0.46;1.01;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;"HC1 (109) [ OC+ 4, E+ 1, C+ 21, E- 5, OC- 1, A+ 18, ST+ 10, O+ 9, A- 2, N+ 2, CO+ 29, N- 7 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (99) [ CO- 1, E+ 4, E- 3, C+ 3, A+ 11, C- 12, ST+ 15, A- 5, ST- 3, OC+ 8, SE+ 5, SE- 4, O+ 5, N+ 7, CO+ 12, N- 1 ]";;;;;;;;;;;;;;;;;;;;;;;
"""I am heartily glad of it,"" he cried.";6;WILLO:X:OC-;WILLO:E:X;;9;3.1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;"HE 1(glad)";"HE 1(glad)";;;;;;"glad";;;"it";"glad";1;1;0;0;0;0;0;1;0;0;1;1;0.82;0.60;0.49;0.99;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;;;;;;;;;;;;;"HC1 (59) [ CO- 5, E+ 8, OC+ 8, SE+ 2, OC- 2, A+ 4, C- 2, ST+ 6, O+ 7, A- 11, OC+  2, CO+ 2 ], HC2 (90) [ X + 5, E+ 15, C+ 3, A+ 14, C- 1, ST+ 9, A- 13, ST- 1, OC+ 3, SE+ 13, OC- 1, O+ 7, N+ 3, CO+ 2 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"""May she always be poor, if she can employ her riches no better.""";1;;;WILLO:A-:X;14;3.6;0;0;1;0;0;1;1;1;0;0;2;0;1;0;0;0;0;3;0;1;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;"PO 1(riches)";"PO 1(riches)";;;;;;"poor";;;"better, poor";;1;1;0;0;0;0;0;1;0;0;2;0;0.89;0.47;0.29;1.13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;"HC3 (49) [ E+ 16, SE+ 7, OC- 7, A+ 5, C- 2, ST+ 3, A- 8, O- 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"""Thank you, Willoughby.";0;;;;4;5.0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"But you may be assured that I would not sacrifice one sentiment of local attachment of yours, or of any one whom I loved, for all the improvements in the world.";6;MSDSH:A+:ST+;WILLO:X:ST;;31;4.1;2;2;4;0;0;6;1;0;0;0;2;3;1;0;0;0;0;4;0;1;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;0;"UN 1(sacrifice)";"UN 1(sacrifice)";;"AC 1(improvements), BE 1(sentiment), UN 1(sacrifice)";"AC 1(improvements), UN 1(sacrifice)";"AC 1(improvements), UN 1(sacrifice)";"assured";;"local";;;;1;1;0;3;2;2;1;0;1;0;0;0;0.87;0.50;0.32;1.13;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;;;;;;;;;;;;;"HC2 (91) [ X + 5, E+ 15, C+ 3, A+ 14, C- 1, ST+ 10, A- 13, ST- 1, OC+ 3, SE+ 13, OC- 1, O+ 7, N+ 3, CO+ 2 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (101) [ CO- 1, E+ 4, E- 3, C+ 3, A+ 12, C- 12, ST+ 16, A- 5, ST- 3, OC+ 8, SE+ 5, SE- 4, O+ 5, N+ 7, CO+ 12, N- 1 ]";;;;;;;;;;;;;;;;;;;;;;;
"Depend upon it that whatever unemployed sum may remain, when I make up my accounts in the spring, I would even rather lay it uselessly by than dispose of it in a manner so painful to you.";6;MSDSH:A+:ST+;WILLO:X:ST;;37;4.0;0;0;2;0;0;7;2;0;0;0;2;3;1;1;0;0;0;6;1;4;0;0;1;0;1;0;2;1;0;0;1;0;1;0;0;1;;;;;;;;"unemployed";"lay, unemployed, make";;"it, painful";;0;0;0;0;0;0;0;1;3;0;2;0;0.86;0.52;0.25;1.19;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;;;;;;;;;;;;;"HC2 (92) [ X + 5, E+ 15, C+ 3, A+ 14, C- 1, ST+ 11, A- 13, ST- 1, OC+ 3, SE+ 13, OC- 1, O+ 7, N+ 3, CO+ 2 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC1 (103) [ CO- 1, E+ 4, E- 3, C+ 3, A+ 13, C- 12, ST+ 17, A- 5, ST- 3, OC+ 8, SE+ 5, SE- 4, O+ 5, N+ 7, CO+ 12, N- 1 ]";;;;;;;;;;;;;;;;;;;;;;;
"But are you really so attached to this place as to see no defect in it?""";1;;;ELINO:C:X;16;3.4;1;0;2;0;0;2;0;0;0;0;0;2;0;0;0;0;0;2;0;2;0;0;0;0;2;0;1;0;0;1;1;0;0;0;0;0;;;;;;;;;"attached";;"it";;0;0;0;0;0;0;0;0;1;0;1;0;0.89;0.46;0.34;1.10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;"HC3 (102) [ X + 1, OC+ 5, E+ 3, C+ 57, SE+ 2, A+ 11, ST+ 11, O+ 8, CO+ 4 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"""I am,"" said he.  ""To me it is faultless.";3;;WILLO:X:ST;WILLO:X:OC-;10;2.8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;0;0;;;;;;;;;;;"faultless, it";;0;0;0;0;0;0;0;0;0;0;2;0;0.91;0.42;0.54;0.93;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;;;;;;;;;;;;;"HC2 (93) [ X + 5, E+ 15, C+ 3, A+ 14, C- 1, ST+ 12, A- 13, ST- 1, OC+ 3, SE+ 13, OC- 1, O+ 7, N+ 3, CO+ 2 ], HC3 (50) [ E+ 16, SE+ 7, OC- 8, A+ 5, C- 2, ST+ 3, A- 8, O- 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Nay, more, I consider it as the only form of building in which happiness is attainable, and were I rich enough I would instantly pull Combe down, and build it up again in the exact plan of this cottage.""";5;WILLO:X:OC+;;WILLO:X:OC-;39;4.1;2;0;3;0;0;5;4;0;0;0;1;5;0;2;0;0;0;5;0;4;1;0;1;0;0;0;2;1;0;0;1;1;1;0;0;0;"HE 1(happiness), PO 1(rich), SD 1(plan)";"PO 1(rich)";"HE 1(happiness)";"HE 1(happiness), PO 1(rich), SD 1(plan)";"PO 1(rich), SD 1(plan)";"HE 1(happiness), PO 1(rich), SD 1(plan)";"exact";"rich";;;"rich, it";;3;1;1;3;2;3;1;1;0;0;2;0;0.83;0.57;0.26;1.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;;;;;;;;;;;;"HC1 (60) [ CO- 5, E+ 8, OC+ 9, SE+ 2, OC- 2, A+ 4, C- 2, ST+ 6, O+ 7, A- 11, OC+  2, CO+ 2 ], HC3 (51) [ E+ 16, SE+ 7, OC- 9, A+ 5, C- 2, ST+ 3, A- 8, O- 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"""With dark narrow stairs and a kitchen that smokes, I suppose,"" said Elinor.";4;ELINO:C+:X;;;14;4.4;1;0;1;0;0;2;2;0;0;0;0;1;2;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;;;;;;;"narrow";;"dark";;"narrow";;0;0;0;0;0;0;1;0;1;0;1;0;0.84;0.56;0.33;1.14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;"HC1 (110) [ OC+ 4, E+ 1, C+ 22, E- 5, OC- 1, A+ 18, ST+ 10, O+ 9, A- 2, N+ 2, CO+ 29, N- 7 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"""Yes,"" cried he in the same eager tone, ""with all and every thing belonging to it;--in no one convenience or INconvenience about it, should the least variation be perceptible.";6;WILLO:O+:X;WILLO:E:ST;;30;4.8;2;0;4;0;0;3;3;0;1;0;1;7;0;0;0;0;0;2;1;1;0;0;0;0;1;0;2;1;1;0;0;0;0;0;0;0;"BE 1(belonging)";;;"BE 1(belonging)";;"BE 1(belonging)";"eager";"eager";;;"least, it";;1;0;0;1;0;1;1;1;0;0;2;0;0.84;0.55;0.27;1.18;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;"HC1 (61) [ CO- 5, E+ 8, OC+ 9, SE+ 2, OC- 2, A+ 4, C- 2, ST+ 6, O+ 8, A- 11, OC+  2, CO+ 2 ], HC2 (95) [ X + 5, E+ 16, C+ 3, A+ 14, C- 1, ST+ 13, A- 13, ST- 1, OC+ 3, SE+ 13, OC- 1, O+ 7, N+ 3, CO+ 2 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Then, and then only, under such a roof, I might perhaps be as happy at Combe as I have been at Barton.""  ""I flatter myself,"" replied Elinor, ""that even under the disadvantage of better rooms and a broader staircase, you will hereafter find your own house as faultless as you now do this.""";1;;;ELINO:C:X;53;4.2;2;0;4;0;0;10;4;2;0;0;2;4;1;3;0;0;0;6;1;8;0;0;0;0;0;0;2;1;0;1;2;0;0;0;0;0;"HE 1(happy), PO 1(might)";"HE 1(happy)";"HE 1(happy)";"HE 1(happy), PO 1(might)";"PO 1(might)";"HE 1(happy), PO 1(might)";;"happy";;;"better, faultless";"will, happy";2;1;1;2;1;2;0;1;0;0;2;2;0.87;0.49;0.32;1.14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;"HC3 (103) [ X + 1, OC+ 5, E+ 3, C+ 58, SE+ 2, A+ 11, ST+ 11, O+ 8, CO+ 4 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"""There certainly are circumstances,"" said Willoughby, ""which might greatly endear it to me; but this place will always have one claim of my affection, which no other can possibly share.""";6;WILLO:X:OC+;WILLO:X:ST;;32;4.8;1;1;2;1;0;1;1;0;0;0;3;3;1;1;0;0;0;2;1;4;0;0;0;0;1;0;4;1;0;0;1;0;2;0;0;0;"BE 1(affection), PO 1(might), UN 1(share)";;"BE 1(affection), UN 1(share)";"BE 1(affection), PO 1(might), UN 1(share)";"PO 1(might), UN 1(share)";"BE 1(affection), PO 1(might), UN 1(share)";;;;;"it";"will";3;0;2;3;2;3;0;0;0;0;1;1;0.87;0.51;0.40;1.07;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;;;;;;;;;;;;;"HC1 (62) [ CO- 5, E+ 8, OC+ 10, SE+ 2, OC- 2, A+ 4, C- 2, ST+ 6, O+ 8, A- 11, OC+  2, CO+ 2 ], HC2 (96) [ X + 5, E+ 16, C+ 3, A+ 14, C- 1, ST+ 14, A- 13, ST- 1, OC+ 3, SE+ 13, OC- 1, O+ 7, N+ 3, CO+ 2 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Mrs. Dashwood looked with pleasure at Marianne, whose fine eyes were fixed so expressively on Willoughby, as plainly denoted how well she understood him.";7;MARIA:X:OC+;MARIA:N:X;MSDSH:A:CO;24;5.3;0;0;0;0;0;4;1;0;0;0;0;1;1;4;0;0;0;2;0;4;0;0;0;0;0;0;0;3;0;2;0;0;0;0;1;1;"HE 1(pleasure)";"HE 1(pleasure)";;"HE 1(pleasure)";;"HE 1(pleasure)";;"fine, well";"well, fixed";;"fine";;1;1;0;1;0;1;0;2;2;0;1;0;0.83;0.57;0.30;1.16;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;;;;;;;;;;;;;;;;;;;;;"HC1 (169) [ CO- 20, E+ 10, E- 1, A+ 7, C- 7, ST+ 8, A- 20, ST- 4, OC+ 37, SE+ 1, OC- 1, SE- 1, O+ 24, N+ 16, CO+ 10, O- 2 ], HC2 (206) [ CO- 2, X + 3, E+ 32, C+ 2, A+ 11, C- 4, ST+ 9, A- 6, ST- 2, OC+ 26, SE+ 13, OC- 7, O+ 48, N+ 37, CO+ 4 ]";;;;;;;;;;;;;;;;;;;;"HC3 (64) [ E+ 6, C+ 6, A+ 8, ST+ 14, OC+  1, OC+ 4, OC- 3, SE+ 3, O+ 3, N+ 2, CO+ 10, O- 2, N- 2 ]";;;;;;;;;;;;;;;;;;;;;;;
"""How often did I wish,"" added he, ""when I was at Allenham this time twelvemonth, that Barton cottage were inhabited!";4;WILLO:E+:X;;;21;4.4;0;0;1;0;0;2;1;0;0;0;0;2;1;2;0;0;0;3;0;1;0;0;0;0;0;0;1;4;0;1;0;0;0;0;0;2;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0.86;0.52;0.37;1.10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;"HC1 (63) [ CO- 5, E+ 9, OC+ 10, SE+ 2, OC- 2, A+ 4, C- 2, ST+ 6, O+ 8, A- 11, OC+  2, CO+ 2 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"I never passed within view of it without admiring its situation, and grieving that no one should live in it.";0;;;;20;4.4;1;0;1;0;0;5;0;0;0;0;1;3;0;0;0;0;0;3;1;1;0;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;;;;;;;"live";;"live";;"it";"grieving";0;0;0;0;0;0;1;0;1;0;1;1;0.85;0.55;0.33;1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"How little did I then think that the very first news I should hear from Mrs. Smith, when I next came into the country, would be that Barton cottage was taken: and I felt an immediate satisfaction and interest in the event, which nothing but a kind of prescience of what happiness I should experience from it, can account for.";7;WILLO:E+:X;WILLO:O:OC;MSDSH:X:OC-;61;4.3;3;0;5;0;0;9;4;0;0;0;4;10;0;3;0;0;0;6;0;2;0;0;0;0;0;0;4;4;0;1;1;0;1;1;0;2;"AC 1(experience), HE 2(satisfaction, happiness), SD 2(think, interest)";"AC 1(experience), HE 1(satisfaction)";"HE 1(happiness), SD 1(interest)";"AC 1(experience), HE 2(satisfaction, happiness), SD 2(think, interest)";"AC 1(experience), SD 2(think, interest)";"AC 1(experience), HE 2(satisfaction, happiness), SD 2(think, interest)";"kind";"kind, little";"little";"kind";"it, first";;5;2;2;5;3;5;1;2;1;1;2;0;0.84;0.57;0.31;1.14;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;;;;;;;;;;;;;"HC1 (64) [ CO- 5, E+ 10, OC+ 10, SE+ 2, OC- 2, A+ 4, C- 2, ST+ 6, O+ 8, A- 11, OC+  2, CO+ 2 ], HC2 (98) [ X + 5, E+ 16, C+ 3, A+ 14, C- 1, ST+ 14, A- 13, ST- 1, OC+ 4, SE+ 13, OC- 1, O+ 8, N+ 3, CO+ 2 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;"HC3 (65) [ E+ 6, C+ 6, A+ 8, ST+ 14, OC+  1, OC+ 4, OC- 4, SE+ 3, O+ 3, N+ 2, CO+ 10, O- 2, N- 2 ]";;;;;;;;;;;;;;;;;;;;;;;
"Must it not have been so, Marianne?""";0;;;;7;3.9;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;"CO 1(Must)";"CO 1(Must)";;"CO 1(Must)";"CO 1(Must)";"CO 1(Must)";;;;;"it";;1;1;0;1;1;1;0;0;0;0;1;0;0;0;0.73;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
speaking to her in a lowered voice.;0;;;;7;4.0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0.81;0.61;0.21;1.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Then continuing his former tone, he said, ""And yet this house you would spoil, Mrs. Dashwood?";7;WILLO:O+:X;WILLO:E:CO;WILLO:X:OC-;16;4.6;1;0;1;0;0;0;1;0;0;0;1;2;0;2;0;0;0;2;1;2;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0.86;0.52;0.37;1.10;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;;;;;;;;;;;;;"HC1 (65) [ CO- 5, E+ 10, OC+ 10, SE+ 2, OC- 2, A+ 4, C- 2, ST+ 6, O+ 9, A- 11, OC+  2, CO+ 2 ], HC2 (100) [ X + 5, E+ 17, C+ 3, A+ 14, C- 1, ST+ 14, A- 13, ST- 1, OC+ 4, SE+ 13, OC- 1, O+ 8, N+ 3, CO+ 3 ], HC3 (52) [ E+ 16, SE+ 7, OC- 10, A+ 5, C- 2, ST+ 3, A- 8, O- 1 ]";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
